"[run number]","heavy-tail-dist","step-size","num","rw-type","[step]","ticks-till-border","max-diff-msd","mean-displacement"
"394","cauchy","2.88","300","levy","1524","1","0","0"
"397","cauchy","2.92","300","levy","1588","1","0","0"
"399","cauchy","2.92","300","levy","1372","1","0","0"
"398","cauchy","2.92","300","levy","1671","1","0","0"
"400","cauchy","2.92","300","levy","1582","1","0","0"
"402","cauchy","2.96","300","levy","1385","1","0","0"
"403","cauchy","2.96","300","levy","1596","1","0","0"
"405","cauchy","3","300","levy","1475","1","0","0"
"406","cauchy","3","300","levy","1710","2","5.443335786905571","128.03654843981693"
"404","cauchy","2.96","300","levy","1727","1","0","0"
"401","cauchy","2.96","300","levy","1537","1","0","0"
"407","cauchy","3","300","levy","1607","1","0","0"
"409","lognormal","1","300","levy","6260","608","9.09340369965718","21.75584269268693"
"410","lognormal","1","300","levy","7066","990","12.93578871825773","21.6752728365812"
"411","lognormal","1","300","levy","7220","667","10.32576559534342","21.95777207851327"
"412","lognormal","1","300","levy","6881","1102","12.637386499713493","20.757202547152776"
"413","lognormal","1.04","300","levy","6328","776","11.256875068270158","22.23753825986418"
"408","cauchy","3","300","levy","1512","1","0","0"
"414","lognormal","1.04","300","levy","7229","633","8.979166518161843","21.916369918487863"
