"[run number]","r","step-size","num","rw-type","[step]","ticks-till-border","max-diff-msd","mean-displacement"
"333","1","2.28","300","deterministic","1459","46","10.612415725446333","37.2796581479159"
"332","1","2.24","300","deterministic","1514","54","10.646010033725556","33.7830035061348"
"330","1","2.24","300","deterministic","1926","50","9.091475721639567","21.53399427704816"
"334","1","2.28","300","deterministic","1507","45","7.9510494484974075","38.513610138586756"
"335","1","2.28","300","deterministic","1725","46","8.966982805798683","24.617156078870675"
"336","1","2.28","300","deterministic","1560","47","9.664054031761369","16.19580937592996"
"337","1","2.32","300","deterministic","1498","45","7.980388335436949","65.66265981966423"
"338","1","2.32","300","deterministic","1593","49","11.094789333541591","22.330028222090615"
"339","1","2.32","300","deterministic","1503","46","12.371819704108862","28.471305280485478"
"340","1","2.32","300","deterministic","1374","44","11.11861789237416","17.481605339248446"
"342","1","2.36","300","deterministic","1388","45","11.681508614162022","48.71723399742347"
"341","1","2.36","300","deterministic","1895","46","10.774313554046232","44.034227509611995"
"345","1","2.4","300","deterministic","1276","46","10.221325134711861","29.907614576632152"
"343","1","2.36","300","deterministic","1468","47","10.623780050025164","33.17168314477078"
"344","1","2.36","300","deterministic","1736","44","11.565176106563985","42.1900623971248"
"346","1","2.4","300","deterministic","1593","44","9.535733890224163","32.48035505659221"
"348","1","2.4","300","deterministic","1351","51","10.366285163243553","18.8333993222141"
"347","1","2.4","300","deterministic","1498","44","10.17983596524512","25.096333075337203"
"349","1","2.44","300","deterministic","1350","43","8.809253656521598","83.95613020268603"
"350","1","2.44","300","deterministic","1483","46","10.91157751396457","75.2024198576366"
"351","1","2.44","300","deterministic","1637","45","11.897637115142562","37.81659828770599"
"352","1","2.44","300","deterministic","1495","44","11.741113741021902","24.45496806062149"
"354","1","2.48","300","deterministic","1333","44","9.770811562386232","20.322864819109984"
"353","1","2.48","300","deterministic","1465","50","12.381072727467853","28.2159333882859"
"356","1","2.48","300","deterministic","1409","44","12.46121189779696","48.661336147045105"
"355","1","2.48","300","deterministic","1359","41","10.88519680551423","37.87856967855276"
"358","1","2.52","300","deterministic","1506","42","10.573109384577705","60.57916476015791"
